DynoWare,Version 3.1.2.0
Path:,C:\Users\user\Desktop\pb solid cylinder\doc\d 2\
Filename:,pb.dwd
Config ID:,pb_000.cfg
Setup ID:,0
Manipulated:,0
Filename 1:,
Filename 2:,
Date:,Monday, September 11, 2023
Time:,15:34:03
Sampling rate [Hz]:,1000
Measuring time [s]:,45
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,45001
Cycle interval:,0
Cycle No:,1
Time,Chan 1,Chan 2,Chan 3,Chan 4,Extra 1
s,Nm,N,N,N,
0,-0.0976563,-1.06812,-5.79834,-1.37329,0
0.001,-0.012207,-1.98364,-3.66211,-1.67847,0
0.002,-0.0488281,-2.13623,-3.50952,-3.50952,0
0.003,-0.0732422,-0.762939,-6.56128,-2.13623,0
0.004,-0.0427246,-0.762939,-7.93457,1.37329,0
0.005,-0.0732422,-2.59399,-2.89917,-4.27246,0
0.006,-0.00610352,-4.11987,-7.78198,-3.8147,0
0.007,-0.0488281,0.457764,-5.34058,-3.66211,0
0.008,-0.012207,-2.44141,-6.10352,-0.762939,0
0.009,-0.0488281,-0.915527,-3.8147,-0.762939,0
0.01,-0.0305176,-2.74658,-5.95093,-4.73022,0
0.011,-0.0549316,-0.915527,-9.00269,-5.49316,0
0.012,-0.0732422,-1.52588,-6.71387,-0.915527,0
0.013,-0.0732422,-1.52588,-6.2561,-1.37329,0
0.014,-0.0488281,-3.50952,-5.0354,-5.34058,0
0.015,-0.0610352,1.52588,-6.2561,-3.05176,0
0.016,-0.0671387,-0.457764,-2.89917,-1.52588,0
0.017,0.0488281,-2.59399,-3.35693,-1.37329,0
0.018,-0.0305176,-2.13623,-7.62939,-3.8147,0
0.019,-0.195313,-3.20435,-4.73022,-5.18799,0
0.02,-0.0549316,-0.152588,-5.95093,1.06812,0
0.021,-0.0305176,-1.06812,-5.95093,-3.66211,0
0.022,-0.0671387,-4.88281,-4.73022,-6.40869,0
0.023,-0.140381,-1.67847,-9.00269,-1.98364,0
0.024,-0.12207,-1.37329,-4.73022,-3.50952,0
0.025,0,-3.50952,-5.49316,-0.610352,0
0.026,0.0366211,-0.762939,-5.95093,-1.37329,0
0.027,-0.109863,-3.96729,-7.78198,-4.57764,0
0.028,-0.0610352,0.152588,-6.86646,-2.89917,0
0.029,-0.0610352,0.915527,-5.34058,0.457764,0
0.03,-0.0671387,-3.35693,-1.83105,-5.18799,0
0.031,0,-0.915527,-8.69751,-1.98364,0
0.032,-0.115967,-1.67847,-5.79834,-2.59399,0
0.033,-0.0915527,0.915527,-3.96729,-2.59399,0
0.034,0.0305176,-4.73022,-8.69751,-2.44141,0
0.035,-0.0305176,-4.73022,-0.610352,-5.34058,0
0.036,-0.0793457,-1.67847,-8.54492,-2.74658,0
0.037,-0.20752,1.98364,-4.57764,-1.52588,0
0.038,0.0183105,-3.50952,-5.49316,-0.457764,0
0.039,0.0244141,-2.74658,-3.35693,-6.56128,0
0.04,-0.0427246,2.44141,-2.89917,-3.35693,0
0.041,-0.0732422,-4.42505,-10.8337,0.305176,0
0.042,-0.0549316,1.67847,-4.88281,-1.83105,0
